population,year,julian,HW,catch,period
Quillayute,1999,-23,Wild,24,Current
Quillayute,1999,-16,Hatchery,228,Current
Quillayute,1999,-16,Wild,103,Current
Quillayute,1999,-9,Hatchery,569,Current
Quillayute,1999,-9,Wild,125,Current
Quillayute,1999,-2,Hatchery,407,Current
Quillayute,1999,-2,Wild,171,Current
Quillayute,1999,5,Hatchery,363,Current
Quillayute,1999,5,Wild,175,Current
Quillayute,1999,12,Hatchery,212,Current
Quillayute,1999,12,Wild,296,Current
Quillayute,1999,19,Hatchery,111,Current
Quillayute,1999,19,Wild,231,Current
Quillayute,1999,26,Hatchery,87,Current
Quillayute,1999,26,Wild,125,Current
Quillayute,1999,33,Hatchery,85,Current
Quillayute,1999,33,Wild,262,Current
Quillayute,1999,40,Hatchery,34,Current
Quillayute,1999,40,Wild,199,Current
Quillayute,1999,47,Hatchery,26,Current
Quillayute,1999,47,Wild,190,Current
Quillayute,1999,54,Hatchery,23,Current
Quillayute,1999,54,Wild,274,Current
Quillayute,1999,61,Hatchery,2,Current
Quillayute,1999,61,Wild,216,Current
Quillayute,1999,68,Hatchery,8,Current
Quillayute,1999,68,Wild,437,Current
Quillayute,1999,75,Hatchery,2,Current
Quillayute,1999,75,Wild,381,Current
Quillayute,1999,82,Hatchery,0,Current
Quillayute,1999,82,Wild,391,Current
Quillayute,1999,89,Hatchery,0,Current
Quillayute,1999,89,Wild,193,Current
Quillayute,1999,117,Hatchery,3,Current
Quillayute,1999,117,Wild,103,Current
Quillayute,2000,-45,Hatchery,605,Current
Quillayute,2000,-45,Wild,33,Current
Quillayute,2000,-38,Hatchery,603,Current
Quillayute,2000,-38,Wild,38,Current
Quillayute,2000,-31,Hatchery,281,Current
Quillayute,2000,-31,Wild,17,Current
Quillayute,2000,-24,Hatchery,432,Current
Quillayute,2000,-24,Wild,49,Current
Quillayute,2000,-17,Hatchery,336,Current
Quillayute,2000,-17,Wild,186,Current
Quillayute,2000,-10,Hatchery,258,Current
Quillayute,2000,-10,Wild,162,Current
Quillayute,2000,-3,Hatchery,258,Current
Quillayute,2000,-3,Wild,163,Current
Quillayute,2000,4,Hatchery,185,Current
Quillayute,2000,4,Wild,286,Current
Quillayute,2000,11,Hatchery,73,Current
Quillayute,2000,11,Wild,290,Current
Quillayute,2000,18,Hatchery,32,Current
Quillayute,2000,18,Wild,346,Current
Quillayute,2000,25,Hatchery,26,Current
Quillayute,2000,25,Wild,311,Current
Quillayute,2000,32,Hatchery,6,Current
Quillayute,2000,32,Wild,206,Current
Quillayute,2000,39,Hatchery,4,Current
Quillayute,2000,39,Wild,215,Current
Quillayute,2000,46,Hatchery,4,Current
Quillayute,2000,46,Wild,309,Current
Quillayute,2000,53,Hatchery,3,Current
Quillayute,2000,53,Wild,195,Current
Quillayute,2000,60,Hatchery,4,Current
Quillayute,2000,60,Wild,567,Current
Quillayute,2000,67,Hatchery,2,Current
Quillayute,2000,67,Wild,663,Current
Quillayute,2000,74,Hatchery,3,Current
Quillayute,2000,74,Wild,696,Current
Quillayute,2000,81,Hatchery,7,Current
Quillayute,2000,81,Wild,588,Current
Quillayute,2000,109,Hatchery,2,Current
Quillayute,2000,109,Wild,106,Current
Quillayute,2000,116,Hatchery,0,Current
Quillayute,2000,116,Wild,9,Current
Quillayute,2001,-33,Hatchery,1098,Current
Quillayute,2001,-33,Wild,44,Current
Quillayute,2001,-26,Hatchery,972,Current
Quillayute,2001,-26,Wild,41,Current
Quillayute,2001,-19,Hatchery,1248,Current
Quillayute,2001,-19,Wild,64,Current
Quillayute,2001,-12,Hatchery,1440,Current
Quillayute,2001,-12,Wild,191,Current
Quillayute,2001,-5,Hatchery,461,Current
Quillayute,2001,-5,Wild,61,Current
Quillayute,2001,2,Hatchery,410,Current
Quillayute,2001,2,Wild,95,Current
Quillayute,2001,9,Hatchery,197,Current
Quillayute,2001,9,Wild,115,Current
Quillayute,2001,16,Hatchery,66,Current
Quillayute,2001,16,Wild,92,Current
Quillayute,2001,23,Hatchery,38,Current
Quillayute,2001,23,Wild,113,Current
Quillayute,2001,30,Hatchery,28,Current
Quillayute,2001,30,Wild,116,Current
Quillayute,2001,37,Hatchery,21,Current
Quillayute,2001,37,Wild,133,Current
Quillayute,2001,44,Hatchery,7,Current
Quillayute,2001,44,Wild,96,Current
Quillayute,2001,51,Hatchery,7,Current
Quillayute,2001,51,Wild,205,Current
Quillayute,2001,58,Hatchery,7,Current
Quillayute,2001,58,Wild,201,Current
Quillayute,2001,65,Hatchery,0,Current
Quillayute,2001,65,Wild,187,Current
Quillayute,2001,72,Hatchery,2,Current
Quillayute,2001,72,Wild,206,Current
Quillayute,2001,79,Hatchery,2,Current
Quillayute,2001,79,Wild,232,Current
Quillayute,2001,86,Hatchery,4,Current
Quillayute,2001,86,Wild,205,Current
Quillayute,2001,107,Hatchery,0,Current
Quillayute,2001,107,Wild,64,Current
Quillayute,2001,114,Hatchery,0,Current
Quillayute,2001,114,Wild,25,Current
Quillayute,2001,121,Hatchery,0,Current
Quillayute,2001,121,Wild,9,Current
Quillayute,2002,-34,Hatchery,74,Current
Quillayute,2002,-34,Wild,12,Current
Quillayute,2002,-27,Hatchery,138,Current
Quillayute,2002,-27,Wild,21,Current
Quillayute,2002,-20,Hatchery,283,Current
Quillayute,2002,-20,Wild,28,Current
Quillayute,2002,-13,Hatchery,41,Current
Quillayute,2002,-13,Wild,3,Current
Quillayute,2002,-6,Hatchery,49,Current
Quillayute,2002,-6,Wild,4,Current
Quillayute,2002,1,Hatchery,42,Current
Quillayute,2002,1,Wild,32,Current
Quillayute,2002,8,Hatchery,30,Current
Quillayute,2002,8,Wild,61,Current
Quillayute,2002,15,Hatchery,59,Current
Quillayute,2002,15,Wild,200,Current
Quillayute,2002,22,Hatchery,17,Current
Quillayute,2002,22,Wild,130,Current
Quillayute,2002,29,Hatchery,24,Current
Quillayute,2002,29,Wild,199,Current
Quillayute,2002,36,Hatchery,4,Current
Quillayute,2002,36,Wild,128,Current
Quillayute,2002,43,Hatchery,3,Current
Quillayute,2002,43,Wild,167,Current
Quillayute,2002,50,Hatchery,0,Current
Quillayute,2002,50,Wild,203,Current
Quillayute,2002,57,Hatchery,1,Current
Quillayute,2002,57,Wild,107,Current
Quillayute,2002,64,Hatchery,0,Current
Quillayute,2002,64,Wild,108,Current
Quillayute,2002,71,Hatchery,0,Current
Quillayute,2002,71,Wild,225,Current
Quillayute,2002,78,Hatchery,0,Current
Quillayute,2002,78,Wild,153,Current
Quillayute,2002,85,Hatchery,3,Current
Quillayute,2002,85,Wild,123,Current
Quillayute,2002,106,Hatchery,0,Current
Quillayute,2002,106,Wild,22,Current
Quillayute,2002,113,Hatchery,0,Current
Quillayute,2002,113,Wild,13,Current
Quillayute,2002,120,Hatchery,0,Current
Quillayute,2002,120,Wild,3,Current
Quillayute,2003,-35,Hatchery,211,Current
Quillayute,2003,-35,Wild,14,Current
Quillayute,2003,-28,Hatchery,334,Current
Quillayute,2003,-28,Wild,11,Current
Quillayute,2003,-21,Hatchery,322,Current
Quillayute,2003,-21,Wild,25,Current
Quillayute,2003,-14,Hatchery,440,Current
Quillayute,2003,-14,Wild,68,Current
Quillayute,2003,-7,Hatchery,342,Current
Quillayute,2003,-7,Wild,22,Current
Quillayute,2003,0,Hatchery,270,Current
Quillayute,2003,0,Wild,81,Current
Quillayute,2003,7,Hatchery,137,Current
Quillayute,2003,7,Wild,50,Current
Quillayute,2003,14,Hatchery,164,Current
Quillayute,2003,14,Wild,97,Current
Quillayute,2003,21,Hatchery,72,Current
Quillayute,2003,21,Wild,83,Current
Quillayute,2003,28,Hatchery,25,Current
Quillayute,2003,28,Wild,123,Current
Quillayute,2003,35,Hatchery,7,Current
Quillayute,2003,35,Wild,201,Current
Quillayute,2003,42,Hatchery,3,Current
Quillayute,2003,42,Wild,71,Current
Quillayute,2003,49,Hatchery,1,Current
Quillayute,2003,49,Wild,64,Current
Quillayute,2003,56,Hatchery,0,Current
Quillayute,2003,56,Wild,202,Current
Quillayute,2003,63,Hatchery,0,Current
Quillayute,2003,63,Wild,107,Current
Quillayute,2003,70,Hatchery,0,Current
Quillayute,2003,70,Wild,247,Current
Quillayute,2003,77,Hatchery,0,Current
Quillayute,2003,77,Wild,133,Current
Quillayute,2003,84,Hatchery,0,Current
Quillayute,2003,84,Wild,163,Current
Quillayute,2003,105,Hatchery,0,Current
Quillayute,2003,105,Wild,28,Current
Quillayute,2003,112,Hatchery,0,Current
Quillayute,2003,112,Wild,55,Current
Quillayute,2003,119,Hatchery,0,Current
Quillayute,2003,119,Wild,16,Current
Quillayute,2004,-36,Hatchery,41,Current
Quillayute,2004,-36,Wild,6,Current
Quillayute,2004,-29,Hatchery,369,Current
Quillayute,2004,-29,Wild,38,Current
Quillayute,2004,-22,Hatchery,480,Current
Quillayute,2004,-22,Wild,29,Current
Quillayute,2004,-15,Hatchery,256,Current
Quillayute,2004,-15,Wild,59,Current
Quillayute,2004,-8,Hatchery,239,Current
Quillayute,2004,-8,Wild,99,Current
Quillayute,2004,-1,Hatchery,390,Current
Quillayute,2004,-1,Wild,222,Current
Quillayute,2004,6,Hatchery,17,Current
Quillayute,2004,6,Wild,44,Current
Quillayute,2004,13,Hatchery,9,Current
Quillayute,2004,13,Wild,18,Current
Quillayute,2004,20,Hatchery,13,Current
Quillayute,2004,20,Wild,37,Current
Quillayute,2004,27,Hatchery,16,Current
Quillayute,2004,27,Wild,198,Current
Quillayute,2004,34,Hatchery,11,Current
Quillayute,2004,34,Wild,198,Current
Quillayute,2004,41,Hatchery,4,Current
Quillayute,2004,41,Wild,117,Current
Quillayute,2004,48,Hatchery,2,Current
Quillayute,2004,48,Wild,203,Current
Quillayute,2004,55,Hatchery,2,Current
Quillayute,2004,55,Wild,121,Current
Quillayute,2004,62,Hatchery,1,Current
Quillayute,2004,62,Wild,237,Current
Quillayute,2004,69,Hatchery,0,Current
Quillayute,2004,69,Wild,133,Current
Quillayute,2004,76,Hatchery,0,Current
Quillayute,2004,76,Wild,223,Current
Quillayute,2004,83,Hatchery,0,Current
Quillayute,2004,83,Wild,171,Current
Quillayute,2004,104,Hatchery,0,Current
Quillayute,2004,104,Wild,58,Current
Quillayute,2004,111,Hatchery,0,Current
Quillayute,2004,111,Wild,27,Current
Quillayute,2004,118,Hatchery,0,Current
Quillayute,2004,118,Wild,26,Current
Quillayute,2005,-45,Hatchery,198,Current
Quillayute,2005,-45,Wild,17,Current
Quillayute,2005,-38,Hatchery,298,Current
Quillayute,2005,-38,Wild,25,Current
Quillayute,2005,-31,Hatchery,370,Current
Quillayute,2005,-31,Wild,12,Current
Quillayute,2005,-24,Hatchery,417,Current
Quillayute,2005,-24,Wild,7,Current
Quillayute,2005,-17,Hatchery,761,Current
Quillayute,2005,-17,Wild,18,Current
Quillayute,2005,-10,Hatchery,330,Current
Quillayute,2005,-10,Wild,57,Current
Quillayute,2005,-3,Hatchery,139,Current
Quillayute,2005,-3,Wild,30,Current
Quillayute,2005,4,Hatchery,163,Current
Quillayute,2005,4,Wild,33,Current
Quillayute,2005,11,Hatchery,154,Current
Quillayute,2005,11,Wild,288,Current
Quillayute,2005,18,Hatchery,26,Current
Quillayute,2005,18,Wild,72,Current
Quillayute,2005,25,Hatchery,19,Current
Quillayute,2005,25,Wild,111,Current
Quillayute,2005,32,Hatchery,17,Current
Quillayute,2005,32,Wild,224,Current
Quillayute,2005,39,Hatchery,0,Current
Quillayute,2005,39,Wild,70,Current
Quillayute,2005,46,Hatchery,0,Current
Quillayute,2005,46,Wild,201,Current
Quillayute,2005,53,Hatchery,0,Current
Quillayute,2005,53,Wild,57,Current
Quillayute,2005,60,Hatchery,3,Current
Quillayute,2005,60,Wild,157,Current
Quillayute,2005,67,Hatchery,0,Current
Quillayute,2005,67,Wild,120,Current
Quillayute,2005,74,Hatchery,0,Current
Quillayute,2005,74,Wild,129,Current
Quillayute,2005,95,Hatchery,0,Current
Quillayute,2005,95,Wild,51,Current
Quillayute,2005,102,Hatchery,0,Current
Quillayute,2005,102,Wild,56,Current
Quillayute,2005,109,Hatchery,0,Current
Quillayute,2005,109,Wild,88,Current
Quillayute,2005,116,Hatchery,0,Current
Quillayute,2005,116,Wild,34,Current
Quillayute,2006,-32,Hatchery,478,Current
Quillayute,2006,-32,Wild,31,Current
Quillayute,2006,-25,Hatchery,444,Current
Quillayute,2006,-25,Wild,17,Current
Quillayute,2006,-18,Hatchery,535,Current
Quillayute,2006,-18,Wild,21,Current
Quillayute,2006,-11,Hatchery,748,Current
Quillayute,2006,-11,Wild,62,Current
Quillayute,2006,-4,Hatchery,912,Current
Quillayute,2006,-4,Wild,66,Current
Quillayute,2006,3,Hatchery,414,Current
Quillayute,2006,3,Wild,166,Current
Quillayute,2006,10,Hatchery,614,Current
Quillayute,2006,10,Wild,415,Current
Quillayute,2006,17,Hatchery,87,Current
Quillayute,2006,17,Wild,137,Current
Quillayute,2006,24,Hatchery,52,Current
Quillayute,2006,24,Wild,335,Current
Quillayute,2006,31,Hatchery,10,Current
Quillayute,2006,31,Wild,52,Current
Quillayute,2006,38,Hatchery,3,Current
Quillayute,2006,38,Wild,141,Current
Quillayute,2006,45,Hatchery,7,Current
Quillayute,2006,45,Wild,133,Current
Quillayute,2006,52,Hatchery,3,Current
Quillayute,2006,52,Wild,178,Current
Quillayute,2006,59,Hatchery,2,Current
Quillayute,2006,59,Wild,248,Current
Quillayute,2006,66,Hatchery,6,Current
Quillayute,2006,66,Wild,274,Current
Quillayute,2006,73,Hatchery,3,Current
Quillayute,2006,73,Wild,597,Current
Quillayute,2006,80,Hatchery,2,Current
Quillayute,2006,80,Wild,265,Current
Quillayute,2006,87,Hatchery,4,Current
Quillayute,2006,87,Wild,390,Current
Quillayute,2006,108,Hatchery,0,Current
Quillayute,2006,108,Wild,42,Current
Quillayute,2006,115,Hatchery,2,Current
Quillayute,2006,115,Wild,66,Current
Quillayute,2006,122,Hatchery,0,Current
Quillayute,2006,122,Wild,40,Current
Quillayute,2007,-33,Hatchery,272,Current
Quillayute,2007,-33,Wild,28,Current
Quillayute,2007,-26,Hatchery,668,Current
Quillayute,2007,-26,Wild,48,Current
Quillayute,2007,-19,Hatchery,392,Current
Quillayute,2007,-19,Wild,34,Current
Quillayute,2007,-12,Hatchery,261,Current
Quillayute,2007,-12,Wild,77,Current
Quillayute,2007,-5,Hatchery,97,Current
Quillayute,2007,-5,Wild,85,Current
Quillayute,2007,2,Hatchery,94,Current
Quillayute,2007,2,Wild,162,Current
Quillayute,2007,9,Hatchery,50,Current
Quillayute,2007,9,Wild,179,Current
Quillayute,2007,16,Hatchery,10,Current
Quillayute,2007,16,Wild,207,Current
Quillayute,2007,23,Hatchery,0,Current
Quillayute,2007,23,Wild,79,Current
Quillayute,2007,30,Hatchery,2,Current
Quillayute,2007,30,Wild,55,Current
Quillayute,2007,37,Hatchery,7,Current
Quillayute,2007,37,Wild,113,Current
Quillayute,2007,44,Hatchery,0,Current
Quillayute,2007,44,Wild,406,Current
Quillayute,2007,51,Hatchery,0,Current
Quillayute,2007,51,Wild,95,Current
Quillayute,2007,58,Hatchery,4,Current
Quillayute,2007,58,Wild,96,Current
Quillayute,2007,65,Hatchery,0,Current
Quillayute,2007,65,Wild,93,Current
Quillayute,2007,72,Hatchery,0,Current
Quillayute,2007,72,Wild,231,Current
Quillayute,2007,79,Hatchery,0,Current
Quillayute,2007,79,Wild,125,Current
Quillayute,2007,86,Hatchery,0,Current
Quillayute,2007,86,Wild,114,Current
Quillayute,2007,107,Hatchery,0,Current
Quillayute,2007,107,Wild,44,Current
Quillayute,2007,114,Hatchery,0,Current
Quillayute,2007,114,Wild,31,Current
Quillayute,2007,121,Hatchery,4,Current
Quillayute,2007,121,Wild,75,Current
Quillayute,2008,-34,Hatchery,111,Current
Quillayute,2008,-34,Wild,5,Current
Quillayute,2008,-27,Hatchery,283,Current
Quillayute,2008,-27,Wild,29,Current
Quillayute,2008,-20,Hatchery,228,Current
Quillayute,2008,-20,Wild,19,Current
Quillayute,2008,-13,Hatchery,95,Current
Quillayute,2008,-13,Wild,12,Current
Quillayute,2008,-6,Hatchery,74,Current
Quillayute,2008,-6,Wild,0,Current
Quillayute,2008,1,Hatchery,67,Current
Quillayute,2008,1,Wild,39,Current
Quillayute,2008,8,Hatchery,85,Current
Quillayute,2008,8,Wild,142,Current
Quillayute,2008,15,Hatchery,32,Current
Quillayute,2008,15,Wild,181,Current
Quillayute,2008,22,Hatchery,17,Current
Quillayute,2008,22,Wild,54,Current
Quillayute,2008,29,Hatchery,20,Current
Quillayute,2008,29,Wild,30,Current
Quillayute,2008,36,Hatchery,12,Current
Quillayute,2008,36,Wild,64,Current
Quillayute,2008,43,Hatchery,0,Current
Quillayute,2008,43,Wild,92,Current
Quillayute,2008,50,Hatchery,3,Current
Quillayute,2008,50,Wild,97,Current
Quillayute,2008,57,Hatchery,4,Current
Quillayute,2008,57,Wild,165,Current
Quillayute,2008,64,Hatchery,4,Current
Quillayute,2008,64,Wild,205,Current
Quillayute,2008,71,Hatchery,2,Current
Quillayute,2008,71,Wild,56,Current
Quillayute,2008,78,Hatchery,0,Current
Quillayute,2008,78,Wild,226,Current
Quillayute,2008,85,Hatchery,0,Current
Quillayute,2008,85,Wild,117,Current
Quillayute,2008,106,Hatchery,0,Current
Quillayute,2008,106,Wild,49,Current
Quillayute,2008,113,Hatchery,0,Current
Quillayute,2008,113,Wild,18,Current
Quillayute,2008,120,Hatchery,0,Current
Quillayute,2008,120,Wild,23,Current
Quillayute,2009,-36,Hatchery,355,Current
Quillayute,2009,-36,Wild,58,Current
Quillayute,2009,-29,Hatchery,1099,Current
Quillayute,2009,-29,Wild,72,Current
Quillayute,2009,-22,Hatchery,807,Current
Quillayute,2009,-22,Wild,115,Current
Quillayute,2009,-15,Hatchery,1387,Current
Quillayute,2009,-15,Wild,190,Current
Quillayute,2009,-8,Hatchery,443,Current
Quillayute,2009,-8,Wild,63,Current
Quillayute,2009,-1,Hatchery,305,Current
Quillayute,2009,-1,Wild,152,Current
Quillayute,2009,6,Hatchery,110,Current
Quillayute,2009,6,Wild,122,Current
Quillayute,2009,13,Hatchery,24,Current
Quillayute,2009,13,Wild,52,Current
Quillayute,2009,20,Hatchery,36,Current
Quillayute,2009,20,Wild,91,Current
Quillayute,2009,27,Hatchery,49,Current
Quillayute,2009,27,Wild,137,Current
Quillayute,2009,34,Hatchery,32,Current
Quillayute,2009,34,Wild,134,Current
Quillayute,2009,41,Hatchery,3,Current
Quillayute,2009,41,Wild,144,Current
Quillayute,2009,48,Hatchery,10,Current
Quillayute,2009,48,Wild,195,Current
Quillayute,2009,55,Hatchery,10,Current
Quillayute,2009,55,Wild,114,Current
Quillayute,2009,62,Hatchery,5,Current
Quillayute,2009,62,Wild,135,Current
Quillayute,2009,69,Hatchery,2,Current
Quillayute,2009,69,Wild,106,Current
Quillayute,2009,76,Hatchery,0,Current
Quillayute,2009,76,Wild,190,Current
Quillayute,2009,83,Hatchery,9,Current
Quillayute,2009,83,Wild,270,Current
Quillayute,2009,104,Hatchery,2,Current
Quillayute,2009,104,Wild,74,Current
Quillayute,2009,111,Hatchery,0,Current
Quillayute,2009,111,Wild,40,Current
Quillayute,2009,118,Hatchery,9,Current
Quillayute,2009,118,Wild,41,Current
Quillayute,2010,-37,Hatchery,292,Current
Quillayute,2010,-37,Wild,0,Current
Quillayute,2010,-30,Hatchery,433,Current
Quillayute,2010,-30,Wild,57,Current
Quillayute,2010,-23,Hatchery,118,Current
Quillayute,2010,-23,Wild,21,Current
Quillayute,2010,-16,Hatchery,364,Current
Quillayute,2010,-16,Wild,72,Current
Quillayute,2010,-9,Hatchery,76,Current
Quillayute,2010,-9,Wild,198,Current
Quillayute,2010,-2,Hatchery,81,Current
Quillayute,2010,-2,Wild,99,Current
Quillayute,2010,5,Hatchery,39,Current
Quillayute,2010,5,Wild,101,Current
Quillayute,2010,12,Hatchery,50,Current
Quillayute,2010,12,Wild,124,Current
Quillayute,2010,19,Hatchery,73,Current
Quillayute,2010,19,Wild,284,Current
Quillayute,2010,26,Hatchery,25,Current
Quillayute,2010,26,Wild,165,Current
Quillayute,2010,33,Hatchery,22,Current
Quillayute,2010,33,Wild,93,Current
Quillayute,2010,40,Hatchery,7,Current
Quillayute,2010,40,Wild,75,Current
Quillayute,2010,47,Hatchery,23,Current
Quillayute,2010,47,Wild,144,Current
Quillayute,2010,54,Hatchery,3,Current
Quillayute,2010,54,Wild,106,Current
Quillayute,2010,61,Hatchery,6,Current
Quillayute,2010,61,Wild,131,Current
Quillayute,2010,68,Hatchery,3,Current
Quillayute,2010,68,Wild,113,Current
Quillayute,2010,75,Hatchery,0,Current
Quillayute,2010,75,Wild,163,Current
Quillayute,2010,82,Hatchery,6,Current
Quillayute,2010,82,Wild,129,Current
Quillayute,2010,103,Hatchery,0,Current
Quillayute,2010,103,Wild,149,Current
Quillayute,2010,110,Hatchery,0,Current
Quillayute,2010,110,Wild,31,Current
Quillayute,2010,117,Hatchery,0,Current
Quillayute,2010,117,Wild,32,Current
Quillayute,2011,-45,Hatchery,227,Current
Quillayute,2011,-45,Wild,23,Current
Quillayute,2011,-38,Hatchery,657,Current
Quillayute,2011,-38,Wild,60,Current
Quillayute,2011,-31,Hatchery,623,Current
Quillayute,2011,-31,Wild,80,Current
Quillayute,2011,-24,Hatchery,295,Current
Quillayute,2011,-24,Wild,74,Current
Quillayute,2011,-17,Hatchery,249,Current
Quillayute,2011,-17,Wild,82,Current
Quillayute,2011,-10,Hatchery,442,Current
Quillayute,2011,-10,Wild,96,Current
Quillayute,2011,-3,Hatchery,198,Current
Quillayute,2011,-3,Wild,211,Current
Quillayute,2011,4,Hatchery,79,Current
Quillayute,2011,4,Wild,139,Current
Quillayute,2011,11,Hatchery,36,Current
Quillayute,2011,11,Wild,168,Current
Quillayute,2011,18,Hatchery,34,Current
Quillayute,2011,18,Wild,206,Current
Quillayute,2011,25,Hatchery,64,Current
Quillayute,2011,25,Wild,440,Current
Quillayute,2011,32,Hatchery,12,Current
Quillayute,2011,32,Wild,167,Current
Quillayute,2011,39,Hatchery,6,Current
Quillayute,2011,39,Wild,113,Current
Quillayute,2011,46,Hatchery,24,Current
Quillayute,2011,46,Wild,268,Current
Quillayute,2011,53,Hatchery,0,Current
Quillayute,2011,53,Wild,225,Current
Quillayute,2011,60,Hatchery,7,Current
Quillayute,2011,60,Wild,307,Current
Quillayute,2011,67,Hatchery,7,Current
Quillayute,2011,67,Wild,185,Current
Quillayute,2011,74,Hatchery,7,Current
Quillayute,2011,74,Wild,238,Current
Quillayute,2011,95,Hatchery,0,Current
Quillayute,2011,95,Wild,80,Current
Quillayute,2011,102,Hatchery,0,Current
Quillayute,2011,102,Wild,73,Current
Quillayute,2011,109,Hatchery,0,Current
Quillayute,2011,109,Wild,44,Current
Quillayute,2012,-32,Hatchery,127,Current
Quillayute,2012,-32,Wild,17,Current
Quillayute,2012,-25,Hatchery,188,Current
Quillayute,2012,-25,Wild,35,Current
Quillayute,2012,-18,Hatchery,258,Current
Quillayute,2012,-18,Wild,44,Current
Quillayute,2012,-11,Hatchery,248,Current
Quillayute,2012,-11,Wild,53,Current
Quillayute,2012,-4,Hatchery,122,Current
Quillayute,2012,-4,Wild,132,Current
Quillayute,2012,3,Hatchery,154,Current
Quillayute,2012,3,Wild,92,Current
Quillayute,2012,10,Hatchery,167,Current
Quillayute,2012,10,Wild,211,Current
Quillayute,2012,17,Hatchery,35,Current
Quillayute,2012,17,Wild,136,Current
Quillayute,2012,24,Hatchery,27,Current
Quillayute,2012,24,Wild,113,Current
Quillayute,2012,31,Hatchery,8,Current
Quillayute,2012,31,Wild,206,Current
Quillayute,2012,38,Hatchery,23,Current
Quillayute,2012,38,Wild,330,Current
Quillayute,2012,45,Hatchery,26,Current
Quillayute,2012,45,Wild,150,Current
Quillayute,2012,52,Hatchery,8,Current
Quillayute,2012,52,Wild,183,Current
Quillayute,2012,59,Hatchery,5,Current
Quillayute,2012,59,Wild,310,Current
Quillayute,2012,66,Hatchery,19,Current
Quillayute,2012,66,Wild,126,Current
Quillayute,2012,73,Hatchery,0,Current
Quillayute,2012,73,Wild,126,Current
Quillayute,2012,80,Hatchery,5,Current
Quillayute,2012,80,Wild,126,Current
Quillayute,2012,87,Hatchery,5,Current
Quillayute,2012,87,Wild,191,Current
Quillayute,2012,108,Hatchery,0,Current
Quillayute,2012,108,Wild,98,Current
Quillayute,2012,115,Hatchery,0,Current
Quillayute,2012,115,Wild,68,Current
Quillayute,2012,122,Hatchery,3,Current
Quillayute,2012,122,Wild,20,Current
Quillayute,2013,-34,Hatchery,155,Current
Quillayute,2013,-34,Wild,44,Current
Quillayute,2013,-27,Hatchery,86,Current
Quillayute,2013,-27,Wild,12,Current
Quillayute,2013,-20,Hatchery,48,Current
Quillayute,2013,-20,Wild,13,Current
Quillayute,2013,-13,Hatchery,75,Current
Quillayute,2013,-13,Wild,8,Current
Quillayute,2013,-6,Hatchery,294,Current
Quillayute,2013,-6,Wild,69,Current
Quillayute,2013,1,Hatchery,33,Current
Quillayute,2013,1,Wild,36,Current
Quillayute,2013,8,Hatchery,20,Current
Quillayute,2013,8,Wild,67,Current
Quillayute,2013,15,Hatchery,25,Current
Quillayute,2013,15,Wild,263,Current
Quillayute,2013,22,Hatchery,4,Current
Quillayute,2013,22,Wild,81,Current
Quillayute,2013,29,Hatchery,6,Current
Quillayute,2013,29,Wild,125,Current
Quillayute,2013,36,Hatchery,2,Current
Quillayute,2013,36,Wild,76,Current
Quillayute,2013,43,Hatchery,0,Current
Quillayute,2013,43,Wild,75,Current
Quillayute,2013,50,Hatchery,0,Current
Quillayute,2013,50,Wild,202,Current
Quillayute,2013,57,Hatchery,6,Current
Quillayute,2013,57,Wild,207,Current
Quillayute,2013,64,Hatchery,0,Current
Quillayute,2013,64,Wild,133,Current
Quillayute,2013,71,Hatchery,2,Current
Quillayute,2013,71,Wild,230,Current
Quillayute,2013,78,Hatchery,0,Current
Quillayute,2013,78,Wild,137,Current
Quillayute,2013,85,Hatchery,0,Current
Quillayute,2013,85,Wild,225,Current
Quillayute,2013,106,Hatchery,2,Current
Quillayute,2013,106,Wild,46,Current
Quillayute,2013,113,Hatchery,0,Current
Quillayute,2013,113,Wild,33,Current
Quillayute,2013,120,Hatchery,0,Current
Quillayute,2013,120,Wild,26,Current
Quillayute,2014,-35,Hatchery,164,Current
Quillayute,2014,-35,Wild,0,Current
Quillayute,2014,-28,Hatchery,222,Current
Quillayute,2014,-28,Wild,23,Current
Quillayute,2014,-21,Hatchery,75,Current
Quillayute,2014,-21,Wild,21,Current
Quillayute,2014,-14,Hatchery,181,Current
Quillayute,2014,-14,Wild,19,Current
Quillayute,2014,-7,Hatchery,131,Current
Quillayute,2014,-7,Wild,110,Current
Quillayute,2014,0,Hatchery,383,Current
Quillayute,2014,0,Wild,99,Current
Quillayute,2014,7,Hatchery,84,Current
Quillayute,2014,7,Wild,400,Current
Quillayute,2014,14,Hatchery,14,Current
Quillayute,2014,14,Wild,175,Current
Quillayute,2014,21,Hatchery,5,Current
Quillayute,2014,21,Wild,132,Current
Quillayute,2014,28,Hatchery,3,Current
Quillayute,2014,28,Wild,179,Current
Quillayute,2014,35,Hatchery,0,Current
Quillayute,2014,35,Wild,326,Current
Quillayute,2014,42,Hatchery,4,Current
Quillayute,2014,42,Wild,229,Current
Quillayute,2014,49,Hatchery,7,Current
Quillayute,2014,49,Wild,103,Current
Quillayute,2014,56,Hatchery,3,Current
Quillayute,2014,56,Wild,313,Current
Quillayute,2014,63,Hatchery,0,Current
Quillayute,2014,63,Wild,292,Current
Quillayute,2014,70,Hatchery,0,Current
Quillayute,2014,70,Wild,185,Current
